  **** HLS Build v2024.2 5238294
INFO: [HLS 200-2005] Using work_dir C:/HLS-multirate-DSP/HLS_Multirate/FIR_Cascade_HLS/FIR_Cascade_HLS 
INFO: [HLS 200-1505] Using default flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2024.2%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-1465] Applying ini 'syn.file=FIR_HLS.cpp' from C:/HLS-multirate-DSP/HLS_Multirate/FIR_Cascade_HLS/hls_config.cfg(7)
INFO: [HLS 200-10] Adding design file 'C:/HLS-multirate-DSP/HLS_Multirate/FIR_Cascade_HLS/FIR_HLS.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=FIR_HLS.h' from C:/HLS-multirate-DSP/HLS_Multirate/FIR_Cascade_HLS/hls_config.cfg(8)
INFO: [HLS 200-10] Adding design file 'C:/HLS-multirate-DSP/HLS_Multirate/FIR_Cascade_HLS/FIR_HLS.h' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=../../Matlab/FIR_multirate_cascade_HLS.h' from C:/HLS-multirate-DSP/HLS_Multirate/FIR_Cascade_HLS/hls_config.cfg(9)
INFO: [HLS 200-10] Adding design file 'C:/HLS-multirate-DSP/Matlab/FIR_multirate_cascade_HLS.h' to the project
INFO: [HLS 200-1465] Applying ini 'tb.file=FIR_HLS_TB.cpp' from C:/HLS-multirate-DSP/HLS_Multirate/FIR_Cascade_HLS/hls_config.cfg(10)
INFO: [HLS 200-10] Adding test bench file 'C:/HLS-multirate-DSP/HLS_Multirate/FIR_Cascade_HLS/FIR_HLS_TB.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'tb.file=../../Matlab/TS_HLS_multirate_cascade.res' from C:/HLS-multirate-DSP/HLS_Multirate/FIR_Cascade_HLS/hls_config.cfg(11)
INFO: [HLS 200-10] Adding test bench file 'C:/HLS-multirate-DSP/Matlab/TS_HLS_multirate_cascade.res' to the project
INFO: [HLS 200-1465] Applying ini 'tb.file=../../Matlab/TS_HLS_multirate_cascade.dat' from C:/HLS-multirate-DSP/HLS_Multirate/FIR_Cascade_HLS/hls_config.cfg(12)
INFO: [HLS 200-10] Adding test bench file 'C:/HLS-multirate-DSP/Matlab/TS_HLS_multirate_cascade.dat' to the project
INFO: [HLS 200-1465] Applying ini 'syn.top=FIR_Cascade_HLS' from C:/HLS-multirate-DSP/HLS_Multirate/FIR_Cascade_HLS/hls_config.cfg(13)
INFO: [HLS 200-1465] Applying ini 'flow_target=vivado' from C:/HLS-multirate-DSP/HLS_Multirate/FIR_Cascade_HLS/hls_config.cfg(4)
INFO: [HLS 200-1505] Using flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2024.2%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-1465] Applying ini 'part=xck26-sfvc784-2LV-c' from C:/HLS-multirate-DSP/HLS_Multirate/FIR_Cascade_HLS/hls_config.cfg(1)
INFO: [HLS 200-1611] Setting target device to 'xck26-sfvc784-2LV-c'
INFO: [HLS 200-1465] Applying ini 'package.ip.display_name=FIR_Cascade_HLS' from C:/HLS-multirate-DSP/HLS_Multirate/FIR_Cascade_HLS/hls_config.cfg(14)
INFO: [HLS 200-1465] Applying ini 'package.output.format=ip_catalog' from C:/HLS-multirate-DSP/HLS_Multirate/FIR_Cascade_HLS/hls_config.cfg(5)
INFO: [SIM 211-2] *************** CSIM start ***************
INFO: [SIM 211-4] CSIM will launch CLANG as the compiler.
INFO: [HLS 200-2036] Building debug C Simulation binaries
   Compiling ../../../../FIR_HLS.cpp in debug mode
   Generating csim.exe
In file included from ../../../../FIR_HLS.cpp:1:
In file included from ../../../../FIR_HLS.h:2:
In file included from C:/AMD/Vitis/2024.2/include/ap_fixed.h:9:
In file included from C:/AMD/Vitis/2024.2/include/etc/ap_common.h:658:
In file included from C:/AMD/Vitis/2024.2/include/etc/ap_private.h:68:
In file included from C:/AMD/Vitis/2024.2/include/hls_half.h:26:
In file included from C:/AMD/Vitis/2024.2/include/etc/hls_half_fpo.h:19:
In file included from C:/AMD/Vitis/2024.2/include/hls_fpo.h:140:
In file included from C:/AMD/Vitis/2024.2/include/floating_point_v7_1_bitacc_cmodel.h:150:
C:/AMD/Vitis/2024.2/include/gmp.h:58:9: warning: '__GMP_LIBGMP_DLL' macro redefined [-Wmacro-redefined]
#define __GMP_LIBGMP_DLL  0
        ^
C:/AMD/Vitis/2024.2/include/floating_point_v7_1_bitacc_cmodel.h:142:9: note: previous definition is here
#define __GMP_LIBGMP_DLL 1
        ^
1 warning generated.
INFO: Reading ../../../../../../Matlab/TS_HLS_multirate_cascade.dat
INFO: Read 460 samples from ../../../../../../Matlab/TS_HLS_multirate_cascade.dat
INFO: Reading ../../../../../../Matlab/TS_HLS_multirate_cascade.res
INFO: Read 460 samples from ../../../../../../Matlab/TS_HLS_multirate_cascade.res
INFO: Input and reference data lengths match.
Y1 output 0.0107422
Y1 output 0.0898438
Y1 output 0.21524
Y1 output 0.320862
Y1 output 0.406342
Y1 output 0.466248
Y1 output 0.496887
Y1 output 0.496277
Y1 output 0.464508
Y1 output 0.403534
Y1 output 0.31723
Y1 output 0.210968
Y1 output 0.0914612
Y1 output -0.0338135
Y1 output -0.156952
Y1 output -0.270233
Y1 output -0.366547
Y1 output -0.439789
Y1 output -0.485443
Y1 output -0.50058
Y1 output -0.484253
Y1 output -0.437531
Y1 output -0.363281
Y1 output -0.266235
Y1 output -0.152435
Y1 output -0.0290833
Y1 output 0.0960999
Y1 output 0.21524
Y1 output 0.320862
Y1 output 0.406342
Y1 output 0.466248
Y1 output 0.496887
Y1 output 0.496277
Y1 output 0.464508
Y1 output 0.403534
Y1 output 0.31723
Y1 output 0.210968
Y1 output 0.0914612
Y1 output -0.0338135
Y1 output -0.156952
Y1 output -0.270233
Y1 output -0.366547
Y1 output -0.439789
Y1 output -0.485443
Y1 output -0.50058
Y1 output -0.484253
Y1 output -0.437531
Y1 output -0.363281
Y1 output -0.266235
Y1 output -0.152435
Y1 output -0.0290833
Y1 output 0.0960999
Y1 output 0.21524
Y1 output 0.320862
Y1 output 0.406342
Y1 output 0.466248
Y1 output 0.496887
Y1 output 0.496277
Y1 output 0.464508
Y1 output 0.403534
Y1 output 0.31723
Y1 output 0.210968
Y1 output 0.0914612
Y1 output -0.0338135
Y1 output -0.156952
Y1 output -0.270233
Y1 output -0.366547
Y1 output -0.439789
Y1 output -0.485443
Y1 output -0.50058
Y1 output -0.484253
Y1 output -0.437531
Y1 output -0.363281
Y1 output -0.266235
Y1 output -0.152435
Y1 output -0.0290833
Y1 output 0.0960999
Y1 output 0.21524
Y1 output 0.320862
Y1 output 0.406342
Y1 output 0.466248
Y1 output 0.496887
Y1 output 0.496277
Y1 output 0.464508
Y1 output 0.403534
Y1 output 0.31723
Y1 output 0.210968
Y1 output 0.0914612
Y1 output -0.0338135
Y1 output -0.156952
Y1 output -0.270233
Y1 output -0.366547
Y1 output -0.439789
Y1 output -0.485443
Y1 output -0.50058
Y1 output -0.484253
Y1 output -0.437531
Y1 output -0.363281
Y1 output -0.266235
Y1 output -0.152435
Y1 output -0.0290833
Y1 output 0.0960999
Y1 output 0.21524
Y1 output 0.320862
Y1 output 0.406342
Y1 output 0.466248
Y1 output 0.496887
Y1 output 0.496277
Y1 output 0.464508
Y1 output 0.403534
Y1 output 0.31723
Y1 output 0.210968
Y1 output 0.0914612
Y1 output -0.0338135
Y1 output -0.156952
Y1 output -0.270233
Y1 output -0.366547
Y1 output -0.439789
Y1 output -0.485443
Y1 output -0.50058
Y1 output -0.484253
Y1 output -0.437531
Y1 output -0.363281
Y1 output -0.266235
Y1 output -0.152435
Y1 output -0.0290833
Y1 output 0.0960999
Y1 output 0.21524
Y1 output 0.320862
Y1 output 0.406342
Y1 output 0.466248
Y1 output 0.496887
Y1 output 0.496277
Y1 output 0.464508
Y1 output 0.403534
Y1 output 0.31723
Y1 output 0.210968
Y1 output 0.0914612
Y1 output -0.0338135
Y1 output -0.156952
Y1 output -0.270233
Y1 output -0.366547
Y1 output -0.439789
Y1 output -0.485443
Y1 output -0.50058
Y1 output -0.484253
Y1 output -0.437531
Y1 output -0.363281
Y1 output -0.266235
Y1 output -0.152435
Y1 output -0.0290833
Y1 output 0.0960999
Y1 output 0.21524
Y1 output 0.320862
Y1 output 0.406342
Y1 output 0.466248
Y1 output 0.496887
Y1 output 0.496277
Y1 output 0.464508
Y1 output 0.403534
Y1 output 0.31723
Y1 output 0.210968
Y1 output 0.0914612
Y1 output -0.0338135
Y1 output -0.156952
Y1 output -0.270233
Y1 output -0.366547
Y1 output -0.439789
Y1 output -0.485443
Y1 output -0.50058
Y1 output -0.484253
Y1 output -0.437531
Y1 output -0.363281
Y1 output -0.266235
Y1 output -0.152435
Y1 output -0.0290833
Y1 output 0.0960999
Y1 output 0.21524
Y1 output 0.320862
Y1 output 0.406342
Y1 output 0.466248
Y1 output 0.496887
Y1 output 0.496277
Y1 output 0.464508
Y1 output 0.403534
Y1 output 0.31723
Y1 output 0.210968
Y1 output 0.0914612
Y1 output -0.0338135
Y1 output -0.156952
Y1 output -0.270233
Y1 output -0.366547
Y1 output -0.439789
Y1 output -0.485443
Y1 output -0.50058
Y1 output -0.484253
